time,open,high,low,close,tick_volume,spread,real_volume
1779377400,1.15946,1.1609,1.15941,1.15972,3360,0,0
1779379200,1.15972,1.16,1.15873,1.15893,2268,1,0
1779381000,1.15895,1.1601,1.15763,1.15946,3804,0,0
1779382800,1.15946,1.15956,1.15842,1.15887,3368,0,0
1779384600,1.15887,1.15965,1.15859,1.15928,2839,0,0
1779386400,1.15928,1.15938,1.15821,1.15855,3127,0,0
1779388200,1.15854,1.15889,1.15828,1.15883,1770,1,0
1779390000,1.15884,1.1593499999999999,1.15844,1.15932,1881,0,0
1779391800,1.15933,1.15963,1.15922,1.15952,1289,0,0
1779393600,1.15952,1.1620300000000001,1.15927,1.16182,4262,0,0
1779395400,1.16182,1.16299,1.16146,1.16248,2920,0,0
1779397200,1.16247,1.16299,1.16188,1.16261,2445,0,0
1779399000,1.16262,1.16271,1.16071,1.16113,2899,0,0
1779400800,1.16109,1.16207,1.16097,1.16198,1699,0,0
1779402600,1.16198,1.16241,1.16141,1.16211,1630,0,0
1779404400,1.1621,1.16226,1.16158,1.16183,672,3,0
1779406200,1.16184,1.16188,1.16159,1.16173,453,3,0
1779408000,1.16177,1.16224,1.1615,1.16206,451,4,0
1779409800,1.16206,1.16209,1.16172,1.16186,503,0,0
1779411600,1.16181,1.16214,1.1615,1.16166,262,0,0
1779413400,1.16166,1.16189,1.16165,1.16172,182,3,0
1779415200,1.16172,1.16184,1.16158,1.16171,194,3,0
1779417000,1.1616900000000001,1.1619,1.16165,1.16177,263,3,0
1779418800,1.16178,1.1618,1.16129,1.1614,931,1,0
1779420600,1.1614,1.16161,1.16123,1.16144,641,1,0
1779422400,1.16143,1.16157,1.16121,1.16139,770,2,0
1779424200,1.16139,1.16156,1.16098,1.16099,809,2,0
1779426000,1.16097,1.16119,1.16095,1.16113,540,2,0
1779427800,1.16114,1.1614200000000001,1.16099,1.16117,505,2,0
1779429600,1.16116,1.16129,1.16086,1.16102,502,2,0
1779431400,1.16102,1.16122,1.16102,1.16119,514,2,0
1779433200,1.1611799999999999,1.16149,1.16112,1.16135,429,2,0
1779435000,1.16135,1.16154,1.16129,1.1615199999999999,276,2,0
1779436800,1.16151,1.16167,1.1614200000000001,1.16145,457,2,0
1779438600,1.16145,1.1616900000000001,1.16071,1.16092,807,2,0
1779440400,1.16092,1.16145,1.16075,1.16122,1409,0,0
1779442200,1.16122,1.16124,1.16052,1.16098,1282,0,0
1779444000,1.16098,1.16098,1.16013,1.16084,1171,0,0
1779445800,1.16084,1.16094,1.16046,1.16083,1156,0,0
1779447600,1.16083,1.16157,1.16058,1.16112,1537,0,0
1779449400,1.16112,1.16122,1.16032,1.16078,1588,0,0
1779451200,1.16077,1.16079,1.1596,1.15993,1179,1,0
1779453000,1.15993,1.1605699999999999,1.15982,1.16041,1081,0,0
1779454800,1.16042,1.16078,1.16001,1.16002,822,0,0
1779456600,1.16002,1.16012,1.15951,1.15973,1172,2,0
1779458400,1.15973,1.15976,1.15933,1.15938,1083,0,0
1779460200,1.15939,1.16021,1.15933,1.15964,1410,0,0
1779462000,1.15964,1.1607,1.15944,1.15984,2772,0,0
1779463800,1.15984,1.16048,1.15977,1.16043,1295,1,0
1779465600,1.16041,1.16183,1.16038,1.1611,2573,0,0
1779467400,1.16111,1.16115,1.15993,1.16036,2434,0,0
1779469200,1.16036,1.16038,1.15881,1.15965,2802,0,0
1779471000,1.15965,1.16023,1.15947,1.15977,2251,0,0
1779472800,1.15976,1.16055,1.15957,1.16026,1897,0,0
1779474600,1.16026,1.16044,1.15981,1.16027,1745,0,0
1779476400,1.16027,1.16092,1.15994,1.16092,1615,0,0
1779478200,1.16092,1.16111,1.16054,1.16111,1146,1,0
1779480000,1.16111,1.16171,1.16086,1.16162,1820,0,0
1779481800,1.16163,1.16191,1.16106,1.16133,1797,0,0
1779483600,1.16133,1.16149,1.16093,1.16104,1092,0,0
1779485400,1.16104,1.16151,1.16093,1.16117,799,0,0
1779487200,1.16117,1.16138,1.1608,1.16082,1091,0,0
1779489000,1.16082,1.16088,1.16051,1.16059,800,0,0
1779490800,1.16058,1.16065,1.16033,1.16037,412,0,0
1779492600,1.16037,1.16038,1.15978,1.16032,732,0,0
1779667200,1.16373,1.16405,1.16355,1.16378,399,0,0
1779669000,1.16373,1.16374,1.16302,1.1633,348,6,0
1779670800,1.1633,1.16417,1.16309,1.16406,822,0,0
1779672600,1.16406,1.1644700000000001,1.16403,1.1643,554,2,0
1779674400,1.1643,1.16459,1.1643,1.1645,426,2,0
1779676200,1.1645,1.16454,1.16412,1.16416,600,1,0
1779678000,1.16417,1.16424,1.16379,1.16418,1073,0,0
1779679800,1.16418,1.16489,1.16352,1.16366,1238,0,0
1779681600,1.16366,1.1647,1.16354,1.16461,1443,0,0
1779683400,1.16461,1.16461,1.16383,1.1639,991,1,0
1779685200,1.16391,1.16425,1.16389,1.16416,683,2,0
1779687000,1.16416,1.16418,1.16366,1.16375,494,2,0
1779688800,1.16375,1.16395,1.1636,1.16372,783,2,0
1779690600,1.16373,1.16397,1.1635900000000001,1.16372,641,2,0
1779692400,1.16372,1.16377,1.16355,1.16369,521,2,0
1779694200,1.16369,1.16437,1.16369,1.1642000000000001,550,0,0
1779696000,1.1642000000000001,1.16452,1.1641,1.16432,653,2,0
1779697800,1.16432,1.1644700000000001,1.16379,1.16391,606,2,0
1779699600,1.1639,1.16412,1.16376,1.16388,883,2,0
1779701400,1.16388,1.1644700000000001,1.16374,1.16408,894,1,0
1779703200,1.1641,1.16419,1.16295,1.16337,1588,0,0
1779705000,1.16338,1.16381,1.16334,1.16374,1042,0,0
1779706800,1.16374,1.16407,1.1633,1.16403,848,0,0
1779708600,1.16403,1.16442,1.16401,1.16437,944,2,0
1779710400,1.16436,1.16452,1.16401,1.16422,551,0,0
1779712200,1.16422,1.1644700000000001,1.16404,1.16415,449,2,0
1779714000,1.16414,1.16442,1.16412,1.16418,607,2,0
1779715800,1.16418,1.16439,1.16413,1.16428,506,2,0
1779717600,1.16428,1.1644700000000001,1.16403,1.16444,544,2,0
1779719400,1.16444,1.16506,1.16434,1.16438,1115,0,0
1779721200,1.16438,1.16468,1.16426,1.1644,867,0,0
1779723000,1.1644,1.16527,1.1644,1.1648100000000001,970,0,0
1779724800,1.1648100000000001,1.16497,1.16438,1.1644,817,0,0
1779726600,1.1644,1.16444,1.16387,1.16387,825,1,0
1779728400,1.16387,1.16429,1.16383,1.16412,672,0,0
1779730200,1.16412,1.16463,1.16401,1.16419,813,0,0
1779732000,1.1642000000000001,1.16485,1.16395,1.16455,1222,0,0
1779733800,1.16455,1.16458,1.16419,1.1642000000000001,463,1,0
1779735600,1.16422,1.16426,1.16378,1.16382,568,0,0
1779737400,1.16382,1.16415,1.16366,1.1641,661,0,0
1779739200,1.1641,1.16441,1.16402,1.16437,329,2,0
1779741000,1.16437,1.16439,1.16416,1.16432,280,2,0
1779742800,1.16432,1.16438,1.1642000000000001,1.16424,303,2,0
1779744600,1.16424,1.16438,1.16414,1.16434,156,2,0
1779746400,1.16434,1.16435,1.1642000000000001,1.16429,154,2,0
1779748200,1.1643,1.16436,1.16417,1.1642000000000001,231,2,0
1779750000,1.16419,1.16432,1.16418,1.1643,197,3,0
1779751800,1.1643,1.16434,1.16413,1.16432,311,3,0
1779753600,1.16426,1.16427,1.16382,1.16403,530,16,0
1779755400,1.16403,1.16448,1.1635900000000001,1.16395,363,3,0
1779757200,1.16395,1.16427,1.16384,1.16398,477,3,0
1779759000,1.16398,1.16416,1.1639,1.16406,202,3,0
1779760800,1.16406,1.16431,1.16405,1.16408,281,3,0
1779762600,1.16408,1.16408,1.16355,1.16357,440,1,0
1779764400,1.16357,1.16397,1.16338,1.16355,1374,0,0
1779766200,1.16356,1.16394,1.16349,1.1638600000000001,864,0,0
1779768000,1.1638600000000001,1.16397,1.16349,1.16366,1014,2,0
1779769800,1.16366,1.16368,1.16302,1.16338,888,2,0
1779771600,1.16338,1.1635,1.16321,1.16329,570,2,0
1779773400,1.16329,1.16344,1.16311,1.16338,495,2,0
1779775200,1.16338,1.16372,1.16336,1.16345,424,2,0
1779777000,1.16345,1.1636,1.16341,1.16358,395,0,0
1779778800,1.16357,1.1635900000000001,1.1633,1.16331,256,2,0
1779780600,1.16331,1.16342,1.16292,1.16295,411,1,0
1779782400,1.16296,1.16302,1.16279,1.16295,518,1,0
1779784200,1.16295,1.16306,1.1627399999999999,1.16279,666,1,0
1779786000,1.16279,1.16355,1.16271,1.16327,1076,0,0
1779787800,1.16327,1.16374,1.1632500000000001,1.16351,1066,0,0
1779789600,1.16353,1.16363,1.1623999999999999,1.16339,1369,0,0
1779791400,1.16339,1.16403,1.16326,1.1637,1445,0,0
1779793200,1.1637,1.1642000000000001,1.1635,1.16392,1116,0,0
1779795000,1.16392,1.16412,1.16342,1.16363,1035,0,0
1779796800,1.16363,1.16422,1.16323,1.16417,1206,0,0
1779798600,1.16418,1.1644,1.16397,1.16426,860,0,0
1779800400,1.16426,1.16436,1.16397,1.16428,825,0,0
1779802200,1.16428,1.16451,1.16376,1.16413,1317,0,0
1779804000,1.16415,1.1644700000000001,1.16397,1.164,904,0,0
1779805800,1.16401,1.1642000000000001,1.16334,1.16346,1234,0,0
1779807600,1.16346,1.1636,1.1631,1.16351,1273,0,0
1779809400,1.16351,1.16366,1.16315,1.16319,1127,0,0
1779811200,1.16319,1.1633,1.16265,1.16267,1434,1,0
1779813000,1.16267,1.16312,1.16172,1.16255,2430,0,0
1779814800,1.16256,1.1629800000000001,1.16212,1.16244,1834,1,0
1779816600,1.16241,1.16289,1.16227,1.16249,2048,0,0
1779818400,1.16249,1.16257,1.16174,1.16207,1882,0,0
1779820200,1.16207,1.16222,1.16162,1.16193,1743,0,0
1779822000,1.16193,1.16288,1.16193,1.16271,981,1,0
1779823800,1.16271,1.16295,1.16224,1.16238,942,0,0
1779825600,1.16238,1.16276,1.16228,1.16239,876,0,0
1779827400,1.16239,1.1626,1.1621299999999999,1.16239,692,0,0
1779829200,1.1623999999999999,1.16273,1.16233,1.16269,581,1,0
1779831000,1.16269,1.16309,1.16263,1.16294,627,1,0
1779832800,1.16294,1.16304,1.16273,1.16293,645,1,0
1779834600,1.16293,1.1632500000000001,1.16293,1.16319,570,0,0
1779836400,1.16319,1.16327,1.16302,1.16302,324,2,0
1779838200,1.16302,1.16319,1.16302,1.16319,353,3,0
1779840000,1.16275,1.16307,1.16235,1.16305,524,3,0
1779841800,1.16305,1.16313,1.1629,1.1631,1283,8,0
1779843600,1.1631,1.1633,1.16306,1.16322,463,0,0
1779845400,1.16322,1.16332,1.16317,1.16331,161,3,0
1779847200,1.16331,1.16368,1.16329,1.16367,176,2,0
1779849000,1.16367,1.1639599999999999,1.1636,1.16363,247,3,0
1779850800,1.16363,1.16403,1.1635900000000001,1.16392,782,1,0
1779852600,1.16393,1.16404,1.16375,1.16379,835,1,0
1779854400,1.16379,1.16393,1.16367,1.1637,653,1,0
1779856200,1.1637,1.1637,1.16326,1.16339,892,2,0
1779858000,1.16338,1.16382,1.16338,1.16347,774,1,0
1779859800,1.16347,1.16384,1.16339,1.16383,582,0,0
1779861600,1.16383,1.16424,1.16377,1.1639,495,2,0
1779863400,1.1639,1.1639599999999999,1.16367,1.16387,369,2,0
1779865200,1.16387,1.16408,1.16382,1.16395,322,1,0
1779867000,1.16395,1.1642299999999999,1.16392,1.16412,429,1,0
1779868800,1.16412,1.16444,1.16407,1.16438,640,1,0
1779870600,1.16438,1.16442,1.1638600000000001,1.16395,880,0,0
1779872400,1.16395,1.16413,1.16372,1.16401,1237,0,0
1779874200,1.16401,1.16492,1.1638600000000001,1.16454,1466,1,0
1779876000,1.16456,1.16488,1.16421,1.16453,1574,0,0
1779877800,1.16452,1.16478,1.164,1.16405,1186,0,0
1779879600,1.16407,1.16471,1.16381,1.16471,1477,2,0
1779881400,1.1647,1.16471,1.16429,1.16449,967,2,0
1779883200,1.16449,1.16469,1.16424,1.16452,1206,0,0
1779885000,1.16452,1.16485,1.16434,1.16446,715,1,0
1779886800,1.16446,1.16446,1.16364,1.16375,890,0,0
1779888600,1.16375,1.16405,1.1635900000000001,1.16391,1161,0,0
1779890400,1.16391,1.16418,1.1636199999999999,1.16378,1253,0,0
1779892200,1.16378,1.16397,1.16328,1.16376,1467,0,0
1779894000,1.16376,1.166,1.16344,1.16561,3967,0,0
1779895800,1.16561,1.16614,1.16417,1.16437,3396,0,0
1779897600,1.16437,1.16479,1.16397,1.16411,2655,0,0
1779899400,1.1641,1.16462,1.16377,1.16413,3057,0,0
1779901200,1.16413,1.16522,1.16365,1.16488,2662,0,0
1779903000,1.16486,1.16517,1.16249,1.16254,3684,0,0
1779904800,1.16255,1.16344,1.16224,1.16338,2583,0,0
1779906600,1.16339,1.16363,1.16262,1.16302,1919,0,0
1779908400,1.16302,1.1632,1.16241,1.16284,1515,0,0
1779910200,1.16284,1.16327,1.16275,1.16322,993,0,0
1779912000,1.16322,1.16329,1.16221,1.16235,1382,0,0
1779913800,1.16235,1.16285,1.16222,1.16273,843,2,0
1779915600,1.16271,1.16273,1.16225,1.16245,821,2,0
1779917400,1.16245,1.16302,1.16238,1.16293,773,1,0
1779919200,1.16293,1.16319,1.16283,1.16308,632,1,0
1779921000,1.16308,1.16316,1.16267,1.16288,697,0,0
1779922800,1.16287,1.16305,1.16276,1.16278,468,3,0
1779924600,1.16278,1.16289,1.16253,1.16255,523,3,0
1779926400,1.16285,1.16299,1.1626,1.16287,197,11,0
1779928200,1.16287,1.16299,1.16253,1.16284,772,3,0
1779930000,1.16284,1.16302,1.16269,1.16279,294,3,0
1779931800,1.16279,1.16292,1.16258,1.16259,258,3,0
1779933600,1.16259,1.16285,1.16214,1.16215,372,1,0
1779935400,1.16216,1.16225,1.16159,1.16173,505,0,0
1779937200,1.16173,1.16233,1.16165,1.16231,1017,0,0
1779939000,1.16231,1.16234,1.16167,1.16205,798,1,0
1779940800,1.16205,1.16211,1.16178,1.16184,867,1,0
1779942600,1.16185,1.16196,1.16092,1.16098,852,0,0
1779944400,1.16099,1.16141,1.16094,1.16135,737,2,0
1779946200,1.16135,1.16151,1.16103,1.16125,681,2,0
1779948000,1.16126,1.16137,1.16009,1.16011,1127,0,0
1779949800,1.16011,1.16011,1.15871,1.15871,1771,0,0
1779951600,1.15871,1.15917,1.15862,1.15881,1334,0,0
1779953400,1.15881,1.15927,1.15879,1.15918,799,1,0
1779955200,1.15918,1.15949,1.1589,1.15943,1092,0,0
1779957000,1.15943,1.1602000000000001,1.15942,1.1599,1256,1,0
1779958800,1.15991,1.16092,1.15985,1.16069,1531,1,0
1779960600,1.16069,1.16121,1.16054,1.16101,1180,2,0
1779962400,1.16101,1.16176,1.16101,1.16124,1549,0,0
1779964200,1.16124,1.16138,1.161,1.16116,1260,0,0
1779966000,1.16116,1.16159,1.16065,1.16094,1359,1,0
1779967800,1.16095,1.16168,1.16089,1.16156,1061,0,0
1779969600,1.16156,1.16191,1.16144,1.16178,987,1,0
1779971400,1.16178,1.16184,1.16129,1.1613,993,1,0
1779973200,1.16129,1.16155,1.16089,1.16145,1066,0,0
1779975000,1.16145,1.16146,1.16036,1.16036,1336,0,0
1779976800,1.16035,1.16111,1.16033,1.1610800000000001,1036,0,0
1779978600,1.1610800000000001,1.16227,1.1608,1.1616900000000001,1334,0,0
1779980400,1.1616900000000001,1.16256,1.16156,1.1623999999999999,1416,0,0
1779982200,1.1623999999999999,1.16381,1.16237,1.16364,2611,0,0
1779984000,1.16364,1.16431,1.16326,1.16328,1983,0,0
1779985800,1.16329,1.16385,1.1629,1.16305,2280,0,0
1779987600,1.16305,1.16578,1.16268,1.16541,4630,0,0
1779989400,1.16541,1.16568,1.16429,1.16475,4130,0,0
1779991200,1.16478,1.16552,1.16475,1.1653,2548,0,0
1779993000,1.1653,1.16568,1.16477,1.1648,1743,0,0
1779994800,1.1648,1.16611,1.16454,1.16572,1853,0,0
1779996600,1.16571,1.16595,1.16535,1.16567,1524,0,0
1779998400,1.16567,1.16573,1.1650800000000001,1.16509,1076,1,0
1780000200,1.16509,1.16543,1.1650800000000001,1.16533,902,1,0
1780002000,1.16533,1.16553,1.1648399999999999,1.16489,1651,0,0
1780003800,1.16489,1.16501,1.16465,1.16478,973,1,0
1780005600,1.16478,1.1649,1.16463,1.16488,891,1,0
1780007400,1.16489,1.16515,1.16468,1.16477,998,1,0
1780009200,1.16475,1.16477,1.1644700000000001,1.16465,563,3,0
1780011000,1.16465,1.16496,1.16464,1.16494,425,3,0
1780012800,1.16509,1.16522,1.1649,1.16506,221,7,0
1780014600,1.16506,1.16516,1.16504,1.16513,504,3,0
1780016400,1.16513,1.16519,1.16502,1.16514,281,2,0
1780018200,1.16514,1.16515,1.16498,1.16499,264,3,0
1780020000,1.16499,1.16528,1.16499,1.16514,284,3,0
1780021800,1.16513,1.1653,1.16505,1.16523,283,2,0
1780023600,1.16523,1.16556,1.1652,1.16538,801,2,0
1780025400,1.16538,1.16538,1.16473,1.16487,774,1,0
1780027200,1.16487,1.16564,1.16478,1.16539,1017,1,0
1780029000,1.16539,1.16539,1.16433,1.16445,1017,0,0
1780030800,1.16445,1.16477,1.16435,1.16464,815,0,0
1780032600,1.16464,1.16493,1.1644700000000001,1.16448,528,2,0
1780034400,1.16448,1.1645,1.16397,1.1641,716,0,0
1780036200,1.1641,1.16412,1.1635900000000001,1.16372,718,2,0
1780038000,1.16371,1.16391,1.16353,1.16356,655,2,0
1780039800,1.16356,1.16392,1.16341,1.1639,520,0,0
1780041600,1.1639,1.16436,1.16381,1.16415,626,0,0
1780043400,1.16414,1.16428,1.16395,1.16421,559,1,0
1780045200,1.16419,1.16478,1.16419,1.16454,1290,1,0
1780047000,1.16454,1.16543,1.16449,1.16534,1352,0,0
1780048800,1.16534,1.16534,1.16414,1.16434,1554,0,0
1780050600,1.16435,1.16446,1.16377,1.1642000000000001,1404,0,0
1780052400,1.1642000000000001,1.1642000000000001,1.16337,1.16388,1862,0,0
1780054200,1.16388,1.1639599999999999,1.16249,1.16282,1452,0,0
1780056000,1.16282,1.16385,1.16266,1.16365,1632,1,0
1780057800,1.16365,1.16428,1.1633,1.16415,1205,0,0
1780059600,1.16416,1.16451,1.16378,1.16425,1046,0,0
1780061400,1.16425,1.16443,1.16407,1.1643,1042,0,0
1780063200,1.16429,1.16448,1.16398,1.16433,1236,0,0
1780065000,1.16433,1.16482,1.16405,1.16474,1345,0,0
1780066800,1.16477,1.16486,1.16428,1.16464,1213,0,0
1780068600,1.16464,1.16489,1.16414,1.16488,1459,0,0
1780070400,1.16488,1.16531,1.16464,1.16498,1666,0,0
1780072200,1.16498,1.16521,1.16448,1.16473,1866,0,0
1780074000,1.16475,1.16509,1.16417,1.16459,2122,0,0
1780075800,1.16459,1.16744,1.16403,1.16685,4296,0,0
1780077600,1.16685,1.16818,1.16672,1.16751,3421,0,0
1780079400,1.16751,1.16858,1.16742,1.16779,2950,0,0
1780081200,1.1678,1.16791,1.16677,1.16697,1470,0,0
1780083000,1.16697,1.16746,1.16666,1.16721,1617,0,0
1780084800,1.1672,1.16734,1.16658,1.16677,1172,0,0
1780086600,1.16678,1.16681,1.1662,1.16622,1132,2,0
1780088400,1.16621,1.16659,1.16615,1.16645,1105,0,0
1780090200,1.16645,1.16686,1.16604,1.16641,1232,0,0
1780092000,1.16641,1.16694,1.1663999999999999,1.16679,828,0,0
1780093800,1.1668,1.16687,1.16637,1.16646,1152,0,0
1780095600,1.16645,1.16648,1.16606,1.16612,643,3,0
1780097400,1.16612,1.16623,1.16584,1.16606,931,0,0
1780272000,1.1652,1.16567,1.16516,1.16553,367,8,0
1780273800,1.16552,1.16604,1.16549,1.16599,440,4,0
1780275600,1.16599,1.16599,1.16513,1.16535,783,0,0
1780277400,1.16535,1.1655,1.16522,1.1654200000000001,1063,0,0
1780279200,1.16543,1.16556,1.16533,1.16554,781,3,0
1780281000,1.16554,1.16557,1.16483,1.1648399999999999,1314,0,0
1780282800,1.16485,1.16535,1.16455,1.16476,1532,0,0
1780284600,1.16476,1.16485,1.16449,1.16477,1013,1,0
1780286400,1.16477,1.16482,1.16436,1.16439,940,0,0
1780288200,1.16439,1.16454,1.16419,1.1644700000000001,776,2,0
1780290000,1.1644700000000001,1.16454,1.16437,1.16446,451,2,0
1780291800,1.16446,1.16468,1.16435,1.16463,564,2,0
1780293600,1.16463,1.1649,1.16433,1.16475,739,0,0
1780295400,1.16475,1.16486,1.16415,1.16438,526,1,0
1780297200,1.16438,1.16473,1.16434,1.16472,397,2,0
1780299000,1.16473,1.1648399999999999,1.16461,1.1648,466,2,0
1780300800,1.1648,1.16523,1.16479,1.16513,598,0,0
1780302600,1.16513,1.16532,1.16503,1.16513,630,2,0
1780304400,1.16515,1.1656,1.165,1.16513,1382,1,0
1780306200,1.16513,1.16647,1.1650800000000001,1.16645,1764,0,0
1780308000,1.16643,1.16647,1.16556,1.16584,1590,0,0
1780309800,1.16583,1.1659,1.16517,1.16565,982,0,0
1780311600,1.16565,1.16601,1.16548,1.16587,1089,0,0
1780313400,1.16588,1.166,1.16533,1.16578,1022,0,0
1780315200,1.1657899999999999,1.16605,1.16482,1.16497,1115,0,0
1780317000,1.16497,1.16514,1.16485,1.16507,1040,1,0
1780318800,1.1650800000000001,1.1651,1.16472,1.1648399999999999,847,1,0
1780320600,1.16485,1.16503,1.1646,1.16474,755,0,0
1780322400,1.16474,1.16479,1.16416,1.1646,955,0,0
1780324200,1.1646,1.16482,1.16429,1.16458,711,0,0
1780326000,1.16458,1.16501,1.16454,1.16498,1204,0,0
